,PersonID,valid,size
0,10013,True,1
1,10014,True,1
2,1003,True,2
3,100388,True,1
4,100398,True,1
5,100404,True,1
6,100404,True,1
7,100409,True,1
8,100414,True,1
9,100415,True,1
10,100416,True,1
11,100417,True,1
12,100419,True,1
13,100420,True,1
14,100420,True,1
15,100425,True,1
16,100426,True,2
17,100431,True,1
18,100432,True,1
19,100436,True,1
20,100438,True,1
21,10044,True,1
22,10044,True,1
23,100441,True,2
24,100442,True,1
25,100447,True,1
26,100451,True,1
27,100452,True,1
28,100453,True,1
29,100456,True,1
30,100459,True,1
31,100461,True,1
32,100461,True,1
33,100462,True,1
34,100465,True,1
35,100471,True,1
36,100472,True,1
37,100474,True,1
38,100480,True,1
39,100480,True,1
40,100481,True,1
41,100484,False,1
42,100492,True,1
43,100493,True,1
44,100499,True,1
45,100501,True,1
46,100503,True,1
47,100506,True,1
48,100509,True,1
49,100509,True,1
50,100509,True,1
51,100511,True,1
52,100514,True,1
53,100514,True,1
54,100514,False,2
55,100515,True,1
56,100516,True,1
57,100520,True,1
58,100523,True,1
59,100524,True,1
60,100525,True,1
61,100526,True,1
62,100527,True,1
63,100529,True,1
64,100534,True,1
65,100538,True,1
66,100541,True,1
67,100549,True,1
68,100549,True,2
69,100552,True,1
70,100553,True,1
71,100553,True,1
72,100557,True,1
73,100558,True,1
74,100564,True,1
75,100566,True,1
76,100568,True,1
77,100568,True,2
78,100572,True,1
79,100573,True,1
80,100574,True,1
81,100575,True,1
82,100581,True,1
83,100588,True,1
84,100588,True,1
85,100592,True,1
86,100593,True,1
87,100593,True,1
88,100596,True,1
89,100601,True,1
90,100605,True,1
91,100607,True,1
92,100609,True,1
93,100611,True,1
94,100611,True,1
95,100612,True,1
96,100614,True,1
97,100617,True,1
98,100618,True,2
99,100620,True,1
100,100621,True,1
101,100622,True,1
102,100622,True,1
103,100623,True,1
104,100624,True,1
105,100627,True,1
106,100629,True,1
107,100630,True,1
108,100631,True,1
109,100633,True,1
110,100634,True,1
111,100635,True,1
112,100636,True,1
113,100638,True,1
114,100639,True,1
115,10064,True,1
116,100642,True,1
117,100647,True,1
118,100648,True,1
119,100650,True,1
120,100651,True,1
121,100652,True,1
122,100656,True,1
123,100659,True,1
124,100660,True,1
125,100663,True,1
126,100668,True,2
127,100669,False,1
128,100670,True,1
129,100673,True,1
130,100674,True,1
131,100675,True,1
132,100679,True,1
133,100680,True,1
134,100683,True,1
135,100686,True,1
136,100689,True,1
137,100691,True,1
138,100692,True,1
139,100694,True,1
140,100696,True,1
141,100696,True,1
142,100699,True,1
143,100700,True,1
144,100702,True,1
145,100702,True,1
146,100703,True,1
147,100704,True,1
148,100717,True,2
149,100717,True,1
150,100722,True,1
151,100725,True,1
152,100739,True,1
153,100740,True,1
154,100740,True,1
155,100744,True,1
156,100748,True,1
157,10075,True,1
158,100750,True,1
159,100752,True,1
160,100752,True,1
161,100755,True,1
162,100756,True,1
163,100757,True,1
164,100760,True,1
165,100762,True,1
166,100767,True,1
167,100767,True,1
168,100768,True,1
169,100772,True,1
170,100773,True,1
171,100775,True,1
172,100775,True,1
173,100776,True,1
174,100777,False,2
175,100780,True,1
176,100781,True,1
177,100782,True,1
178,100783,True,1
179,100787,True,1
180,100788,True,1
181,100790,True,1
182,100792,True,1
183,100793,True,1
184,100794,True,1
185,100797,True,1
186,100799,True,1
187,100801,True,1
188,100805,True,1
189,100806,True,1
190,100809,True,1
191,100810,True,1
192,100812,True,1
193,100813,True,1
194,100814,True,1
195,100814,True,1
196,100815,True,1
197,100815,True,2
198,100816,True,1
199,100817,False,1
200,100818,True,1
201,100820,True,1
202,100820,True,1
203,100821,True,1
204,100822,True,1
205,100824,False,1
206,100827,True,1
207,100828,True,1
208,100829,True,1
209,100829,True,1
210,100834,True,1
211,100839,True,2
212,10084,True,1
213,100840,True,1
214,100841,True,1
215,100842,True,1
216,100842,True,1
217,100844,True,1
218,100847,True,1
219,100852,True,1
220,100854,True,1
221,100855,True,1
222,100862,True,1
223,100863,True,1
224,100869,True,1
225,100870,True,1
226,100872,True,1
227,100872,True,1
228,100874,True,1
229,100876,True,1
230,100885,True,1
231,100886,True,1
232,100891,True,1
233,100891,True,1
234,100895,True,1
235,100896,True,1
236,100899,True,1
237,100899,True,1
238,100900,True,1
239,100903,True,1
240,100904,True,1
241,100906,True,1
242,100911,True,1
243,100925,True,2
244,100930,True,1
245,100936,True,1
246,100946,True,1
247,100947,True,1
248,100949,True,1
249,100950,True,2
250,100958,False,2
251,100958,True,1
252,100964,True,1
253,100968,True,1
254,100968,True,1
255,100970,True,1
256,100972,True,2
257,100982,True,1
258,100983,True,1
259,100985,True,1
260,100987,True,1
261,100990,True,1
262,100995,True,1
263,100996,True,1
264,100997,True,1
265,10100,True,1
266,101002,True,1
267,101003,True,1
268,101006,True,1
269,101006,True,1
270,101010,True,2
271,101012,True,1
272,101023,True,1
273,101028,True,1
274,101029,True,1
275,101029,True,1
276,101033,True,1
277,101035,True,1
278,101038,True,1
279,10104,True,1
280,101045,True,1
281,101046,False,1
282,101048,True,1
283,10105,True,1
284,101050,True,1
285,101050,True,1
286,101050,True,1
287,101051,True,1
288,101068,True,1
289,101069,True,1
290,101076,True,1
291,101090,True,1
292,101096,True,1
293,101102,True,1
294,101116,True,1
295,101119,True,1
296,101124,True,1
297,101126,True,1
298,101160,True,1
299,101191,True,1
300,101197,True,1
301,101213,True,1
302,101213,True,1
303,101217,True,1
304,101264,True,1
305,101287,True,1
306,101311,True,1
307,101314,True,1
308,101332,True,1
309,101354,True,1
310,101354,True,1
311,101360,True,1
312,101361,True,1
313,101366,True,1
314,101380,True,1
315,101382,True,1
316,101400,True,1
317,101404,True,1
318,101427,True,1
319,101437,True,1
320,101440,True,1
321,101466,True,1
322,10147,True,1
323,10148,True,1
324,10148,True,1
325,101491,True,1
326,101508,True,1
327,101528,True,1
328,101582,True,1
329,101585,True,1
330,101606,True,1
331,10161,True,1
332,101660,True,1
333,101665,True,1
334,101665,True,1
335,101674,True,1
336,101678,True,1
337,10168,True,1
338,10169,True,1
339,101696,True,1
340,10170,True,1
341,101736,True,1
342,101738,True,1
343,101788,True,1
344,101788,True,1
345,101812,True,1
346,101812,True,1
347,101835,True,1
348,101841,True,1
349,101879,True,1
350,101905,True,1
351,101907,True,1
352,101914,True,1
353,101935,True,1
354,101938,False,1
355,10195,True,2
356,1020,True,1
357,1020,True,1
358,10200,True,1
359,10200,True,1
360,102050,True,1
361,102068,True,1
362,102091,True,1
363,102095,True,1
364,1021,True,2
365,102115,True,1
366,102124,True,1
367,102133,True,1
368,102137,True,2
369,102139,True,1
370,102141,True,1
371,102145,True,1
372,102148,True,1
373,10215,True,1
374,10215,True,1
375,102151,True,1
376,102152,True,1
377,102159,True,1
378,102162,True,1
379,102164,True,1
380,102166,True,1
381,102166,True,1
382,102169,True,1
383,102171,True,1
384,102174,True,1
385,102174,True,1
386,102179,True,1
387,102184,True,1
388,10219,True,1
389,10219,True,1
390,10219,True,1
391,102190,True,1
392,102191,True,1
393,102192,True,1
394,102192,True,1
395,102194,True,1
396,102195,True,1
397,102195,True,1
398,102206,True,1
399,102207,True,1
400,102212,True,1
401,102212,True,1
402,102213,True,1
403,102216,True,1
404,102216,True,1
405,102219,True,1
406,102222,True,1
407,102224,True,1
408,102234,True,1
409,102240,True,1
410,102240,True,1
411,102241,True,1
412,102242,True,1
413,102245,True,1
414,102245,True,1
415,102246,True,1
416,102247,True,1
417,102247,True,1
418,102248,True,1
419,102248,True,1
420,102250,True,1
421,102251,True,1
422,102256,True,1
423,102258,True,1
424,102264,True,2
425,102265,True,1
426,102267,True,1
427,102272,True,1
428,102274,True,1
429,102277,True,1
430,10228,True,1
431,102280,True,2
432,102282,True,1
433,102282,True,1
434,102287,True,1
435,102291,True,1
436,102299,True,1
437,102300,True,1
438,102302,True,1
439,102315,True,1
440,102317,False,1
441,102320,True,1
442,102322,True,1
443,102324,True,1
444,102326,True,1
445,102326,True,1
446,102331,True,2
447,102332,True,1
448,102335,True,1
449,102340,True,1
450,102348,False,2
451,102350,True,1
452,102350,True,1
453,102351,True,1
454,102352,True,1
455,102353,True,1
456,102354,True,1
457,102354,True,1
458,102355,True,1
459,102355,True,1
460,102358,False,1
461,102359,True,1
462,102364,True,1
463,102369,True,1
464,102374,True,1
465,102374,True,1
466,10252,True,1
467,10252,False,1
468,10286,True,1
469,103,True,1
470,10310,True,2
471,10310,True,1
472,10310,True,1
473,10312,True,1
474,10327,True,1
475,10354,True,1
476,10359,True,1
477,10362,True,1
478,10369,True,1
479,10371,True,1
480,10387,True,1
481,10388,True,1
482,10392,True,1
483,10401,True,1
484,104117,True,1
485,104117,True,1
486,104119,True,1
487,10412,True,1
488,10412,True,1
489,104122,True,1
490,104123,True,2
491,104127,True,1
492,104131,True,2
493,104133,True,1
494,104134,True,1
495,104135,True,1
496,104136,True,1
497,104139,True,2
498,104141,True,1
499,104144,True,1
500,104145,True,1
501,104148,True,1
502,104149,False,1
503,104150,True,1
504,104150,True,1
505,104150,True,1
506,104154,True,1
507,104154,True,1
508,104154,True,1
509,104156,True,1
510,10416,True,1
511,10416,True,1
512,104164,True,1
513,104166,True,1
514,104171,True,1
515,104172,True,1
516,104172,True,1
517,104177,True,1
518,10418,True,1
519,104183,True,2
520,104184,True,1
521,104184,True,1
522,104189,True,1
523,104189,True,1
524,104190,True,1
525,104193,True,1
526,104194,True,1
527,104194,True,1
528,104195,True,1
529,104196,True,1
530,104198,True,2
531,1042,True,1
532,104202,True,1
533,104203,True,1
534,104206,True,1
535,104209,True,1
536,104210,True,2
537,104210,True,1
538,104213,True,1
539,104215,True,1
540,104216,True,1
541,104218,True,1
542,104220,True,1
543,104221,True,1
544,104227,True,1
545,104230,True,1
546,104230,True,1
547,104231,True,1
548,104232,True,1
549,104234,True,1
550,104236,True,1
551,104239,True,1
552,104245,True,1
553,104246,True,1
554,104246,True,1
555,104246,True,1
556,104247,True,1
557,104248,True,1
558,104252,True,1
559,104255,True,1
560,104259,False,1
561,104260,False,2
562,104260,True,1
563,104260,True,1
564,104263,True,1
565,104266,True,1
566,104268,True,1
567,104271,True,1
568,104273,True,1
569,104275,True,1
570,104276,True,1
571,104278,True,1
572,104280,True,1
573,104284,True,1
574,104291,True,1
575,104293,False,1
576,104294,True,1
577,104295,True,1
578,104296,True,1
579,104301,True,1
580,104303,True,1
581,104305,True,1
582,104306,False,2
583,104307,True,1
584,104308,True,1
585,104308,True,3
586,104312,True,1
587,104313,True,1
588,104315,True,1
589,104317,True,1
590,104320,True,1
591,104321,True,1
592,104322,True,1
593,104326,True,1
594,104329,True,1
595,104330,True,1
596,104333,True,1
597,104334,True,1
598,104335,True,1
599,10434,True,1
600,104342,True,1
601,104343,True,1
602,104343,True,1
603,104344,True,1
604,104345,True,1
605,104345,True,1
606,104348,True,1
607,104349,True,1
608,104349,True,1
